ASV domain phylum class order family genus species
ASV_278 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) Granulicella NA
ASV_279 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_280 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_281 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_282 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_283 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_284 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_285 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_286 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_287 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA
ASV_288 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_289 Bacteria Proteobacteria Gammaproteobacteria Gammaproteobacteria Incertae Sedis Unknown Family_4 Acidibacter NA
ASV_290 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales SC-I-84 NA NA
ASV_291 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_292 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_294 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae Massilia NA
ASV_295 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_296 Bacteria Actinobacteriota Acidimicrobiia NA NA NA NA
ASV_297 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Rhodoplanes NA
ASV_299 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_300 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_301 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_302 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_303 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_304 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_305 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_306 Bacteria Firmicutes Bacilli Bacillales Planococcaceae NA NA
ASV_308 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_309 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_310 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_311 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Ferruginibacter NA
ASV_312 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae NA NA
ASV_313 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_314 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Hyphomicrobiaceae Pedomicrobium NA
ASV_315 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_316 Bacteria Acidobacteriota Holophagae Subgroup 7 NA NA NA
ASV_317 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_318 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_319 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae Candidatus Solibacter NA
